id,session_id,question_id,started_at,submitted_at,selected_option,is_correct,time_taken_sec,attempt_number,created_at
217,98082e17-c816-41db-b346-6b625c6aea73,62,2026-01-06 11:48:24.537778,2026-01-06 11:48:32.754191,C,false,8,15,2026-01-06 11:48:24.640712
218,98082e17-c816-41db-b346-6b625c6aea73,24,2026-01-06 11:48:34.478068,2026-01-06 11:48:45.264528,C,true,10,16,2026-01-06 11:48:34.581144
219,a754bf8d-d1a8-4f72-a056-b24ec858e412,3,2026-01-06 11:48:38.834797,2026-01-06 11:49:16.581451,B,true,37,24,2026-01-06 11:48:38.938073
220,98082e17-c816-41db-b346-6b625c6aea73,66,2026-01-06 11:48:47.097819,2026-01-06 11:48:59.15966,B,false,12,17,2026-01-06 11:48:47.200871
221,98082e17-c816-41db-b346-6b625c6aea73,6,2026-01-06 11:49:01.029821,2026-01-06 11:49:51.417943,A,true,50,18,2026-01-06 11:49:01.132796
222,a754bf8d-d1a8-4f72-a056-b24ec858e412,59,2026-01-06 11:49:18.449528,2026-01-06 11:49:42.196163,A,false,23,25,2026-01-06 11:49:18.552496
223,98082e17-c816-41db-b346-6b625c6aea73,20,2026-01-06 11:49:53.153407,2026-01-06 11:50:05.812563,D,true,12,19,2026-01-06 11:49:53.256293
224,98082e17-c816-41db-b346-6b625c6aea73,3,2026-01-06 11:50:07.583932,2026-01-06 11:50:42.997487,A,false,35,20,2026-01-06 11:50:07.686889
225,98082e17-c816-41db-b346-6b625c6aea73,44,2026-01-06 11:50:44.716619,2026-01-06 11:51:00.942915,B,false,16,21,2026-01-06 11:50:44.819569
226,98082e17-c816-41db-b346-6b625c6aea73,65,2026-01-06 11:51:02.660826,2026-01-06 11:51:21.963654,B,false,19,22,2026-01-06 11:51:02.763795
227,98082e17-c816-41db-b346-6b625c6aea73,34,2026-01-06 11:51:23.742166,2026-01-06 11:51:32.502106,B,true,8,23,2026-01-06 11:51:23.845049
228,98082e17-c816-41db-b346-6b625c6aea73,64,2026-01-06 11:51:34.225463,2026-01-06 11:51:46.011733,A,false,11,24,2026-01-06 11:51:34.328405
229,98082e17-c816-41db-b346-6b625c6aea73,67,2026-01-06 11:51:47.732593,2026-01-06 11:51:55.142125,A,false,7,25,2026-01-06 11:51:47.835528
230,46ade19b-3548-416d-a0da-70aef38851c0,29,2026-01-06 11:52:26.48787,2026-01-06 11:52:36.658917,A,false,10,1,2026-01-06 11:52:26.590847
231,46ade19b-3548-416d-a0da-70aef38851c0,41,2026-01-06 11:52:38.657847,,,,,,2026-01-06 11:52:38.760675
232,74e0623d-0d22-49ae-84a4-4328443c5cde,20,2026-01-06 12:45:55.496583,,,,,,2026-01-06 12:45:55.607917
233,74e0623d-0d22-49ae-84a4-4328443c5cde,61,2026-01-06 12:45:59.103764,,,,,,2026-01-06 12:45:59.20794
234,74e0623d-0d22-49ae-84a4-4328443c5cde,62,2026-01-06 12:46:57.509453,,,,,,2026-01-06 12:46:57.614169
235,74e0623d-0d22-49ae-84a4-4328443c5cde,58,2026-01-06 12:47:21.654329,,,,,,2026-01-06 12:47:21.759161
236,74e0623d-0d22-49ae-84a4-4328443c5cde,33,2026-01-06 12:47:32.85354,,,,,,2026-01-06 12:47:32.95835
237,74e0623d-0d22-49ae-84a4-4328443c5cde,9,2026-01-06 12:47:40.994692,,,,,,2026-01-06 12:47:41.099567
238,74e0623d-0d22-49ae-84a4-4328443c5cde,37,2026-01-06 12:48:45.664622,,,,,,2026-01-06 12:48:45.769954
239,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,67,2026-01-06 13:07:53.482772,2026-01-06 13:08:15.838066,C,true,22,1,2026-01-06 13:07:53.610065
240,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,41,2026-01-06 13:08:17.696964,2026-01-06 13:08:30.730321,C,false,13,2,2026-01-06 13:08:17.824293
241,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,34,2026-01-06 13:08:32.584568,2026-01-06 13:08:47.875952,B,true,15,3,2026-01-06 13:08:32.711724
242,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,19,2026-01-06 13:08:49.716776,2026-01-06 13:09:15.493622,B,false,25,4,2026-01-06 13:08:49.844003
243,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,22,2026-01-06 13:09:17.341145,2026-01-06 13:09:33.86418,B,false,16,5,2026-01-06 13:09:17.46849
244,a4e7be68-e8a9-49b0-aac2-6bcc88728c8d,9,2026-01-06 13:09:35.766459,2026-01-06 13:09:40.524245,C,false,4,6,2026-01-06 13:09:35.893857
